Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
MUNGER,BIHAR 3,BIHAR,31-Oct-15,9729,NA,Composite,NA,NA,Vmart,101006,0,0,0,Hindi
MURADABAD,UP11,NORTH,24-Jan-09,8680,NA,Composite,NA,NA,Vmart,40,0,0,0,Hindi
MURSHIDABAD,WB 1,EAST/JHK,10-Oct-18,5637,NA,Fashion,NA,NA,Vmart,101186,0,0,0,Bangla
MUZAFFARNAGAR,DELHI NCR,NORTH,######,7000,NA,Fashion,NA,NA,Vmart,28,0,0,0,Hindi
MUZAFFARPUR,BIHAR 2,BIHAR,######,10248,NA,Composite,NA,NA,Vmart,100206,0,0,0,Hindi
MUZAFFARPUR-AGHORIA BAZAR,BIHAR 2,BIHAR,######,8662,NA,Fashion,NA,NA,Vmart,101339,0,0,0,Hindi
NABARANGPUR,ODISHA,EAST/JHK,10-Sep-16,8572,NA,Fashion,NA,NA,Vmart,101035,0,0,0,Odiya
NAGAON,NE,EAST/JHK,######,10231,NA,Fashion,NA,NA,Vmart,101170,0,0,0,Assamese
NELLORE,RO AP,SOUTH,######,10312,NA,Non Saral,NA,NA,Unlimited,101505,0,0,0,#N/A
RAJAHMUNDRY,RO AP,SOUTH,01-Oct-16,7200,NA,Saral,NA,NA,Unlimited,101501,0,0,0,#N/A
NAGOUR,RAJASTHAN-1,NORTH,######,8061,NA,Fashion,NA,NA,Vmart,78,0,0,0,Hindi
NALBARI,NE,EAST/JHK,######,11700,NA,Composite,NA,NA,Vmart,101171,0,0,0,Assamese
TIRUPATI,RO AP,SOUTH,19-Oct-14,11081,NA,Non Saral,NA,NA,Unlimited,101500,0,0,1,#N/A
NAUBASTA-KANPUR,UP2,UP,######,7175,NA,Fashion,NA,NA,Vmart,101195,0,0,1,Hindi
NAWADA,BIHAR 4,BIHAR,######,8721,NA,Fashion,NA,NA,Vmart,101003,0,0,0,Hindi
VIJAYAWADA,RO AP,SOUTH,######,9660,NA,Non Saral,NA,NA,Unlimited,101502,1,0,0,#N/A
ORAI,UP12,UP,25-Feb-17,10130,NA,Composite,NA,NA,Vmart,101027,0,0,0,Hindi
PADARI BAZAR,UP4,UP,######,7000,NA,Fashion,NA,NA,Vmart,100998,0,0,1,Hindi
PADRAUNA,UP4,UP,11-Apr-16,6154,NA,Composite,NA,NA,Vmart,101026,0,0,0,Hindi
PAHARIA,UP5,UP,######,8900,NA,Composite,NA,NA,Vmart,85,0,0,0,Hindi
PALAMPUR-CITY MALL,"PUN, HP",NORTH,######,9108,NA,Fashion,NA,NA,Vmart,101238,0,0,0,Hindi
PALKI-LUCKNOW,UP8,UP,10-Sep-18,8200,NA,Fashion,NA,NA,Vmart,101158,0,0,0,Hindi
PALWAL-AGRA CHOWK,DELHI NCR,NORTH,10-Feb-22,7938,NA,Fashion,NA,NA,Vmart,NA,0,0,0,#N/A
VIZAG,RO AP,SOUTH,30-Sep-13,10597,NA,Non Saral,NA,NA,Unlimited,101498,1,0,1,#N/A
PARTAP GARH,UP10,UP,08-Sep-10,7000,NA,Composite,NA,NA,Vmart,53,0,0,0,Hindi
PATHANKOT,"PUN, HP",NORTH,24-Sep-06,6000,NA,Composite,NA,NA,Vmart,13,0,0,0,Hindi
PATNA CITY,BIHAR 1,BIHAR,06-Jun-14,9000,NA,Fashion,NA,NA,Vmart,100586,0,0,0,Hindi
PATNA-ANISHABAD,BIHAR 1,BIHAR,######,7550,NA,Fashion,NA,NA,Vmart,NA,0,0,0,#N/A
PATNA-BAKHTIYARPUR,BIHAR 1,BIHAR,10-Oct-21,5990,NA,Fashion,NA,NA,Vmart,101470,0,0,0,Hindi
PATNA-KANTIFACTORY,BIHAR 1,BIHAR,27-Feb-22,7061,NA,Fashion,NA,NA,Vmart,101344,0,0,0,Hindi
PATNA-KURJI,BIHAR 1,BIHAR,11-Sep-19,5942,NA,Fashion,NA,NA,Vmart,101281,0,0,1,Hindi
PATNA-SAMPATH CHOWK,BIHAR 1,BIHAR,######,6893,NA,Fashion,NA,NA,Vmart,101481,0,0,0,Hindi
PHUSRO,JHK2,EAST/JHK,######,7579,NA,Fashion,NA,NA,Vmart,101046,0,0,0,Hindi
PILIBHIT,UP6,UP,22-Feb-17,9940,NA,Composite,NA,NA,Vmart,101008,0,0,0,Hindi
WARRANGAL,RO AP,SOUTH,29-Apr-18,6791,NA,Non Saral,NA,NA,Unlimited,101568,0,0,0,#N/A
PRAYAGRAJ-NOORULLAH ROAD,UP10,UP,######,4126,NA,Fashion,NA,NA,Vmart,101445,0,0,0,Hindi
PREM NAGAR-BAREILLY,UP11,NORTH,05-Apr-18,5848,NA,Fashion,NA,NA,Vmart,101143,0,0,0,Hindi
WARRANGAL_MGM CIRCLE,RO AP,SOUTH,15-Apr-14,15067,NA,Saral,NA,NA,Unlimited,101569,0,0,0,#N/A
PURANPUR-KOTWALI ROAD,UP6,UP,######,6139,NA,Fashion,NA,NA,Vmart,NA,0,0,0,#N/A
PURNIA,BIHAR 3,BIHAR,######,9944,NA,Composite,NA,NA,Vmart,100112,0,0,0,Hindi
PURULIA,WB 1,EAST/JHK,12-Apr-18,8287,NA,Fashion,NA,NA,Vmart,101042,0,0,0,Bangla
RAEBARELI-LALGANJ,UP10,UP,######,7381,NA,Fashion,NA,NA,Vmart,101627,0,0,0,Hindi
RAIBARELI,UP10,UP,19-Oct-13,10924,NA,Composite,NA,NA,Vmart,100207,0,0,0,Hindi
RAIGANJ-MG ROAD,WB 2,EAST/JHK,21-Sep-19,10020,NA,Composite,NA,NA,Vmart,101269,0,1,0,Bangla
CHROMPET_BIG MM,TN,SOUTH,######,19003,NA,Non Saral,NA,NA,Unlimited,101538,1,0,0,#N/A
RAJAJIPURAM,UP8,UP,######,7400,NA,Fashion,NA,NA,Vmart,101070,0,0,0,Hindi
RAJENDER NAGAR,UP4,UP,######,7387,NA,Fashion,NA,NA,Vmart,84,0,0,1,Hindi
RAJIV NAGAR,BIHAR 1,BIHAR,07-Feb-14,5550,NA,Fashion,NA,NA,Vmart,100364,0,0,0,Hindi
RAJPURA-AGRA,UP7,NORTH,23-Apr-19,7629,NA,Fashion,NA,NA,Vmart,101235,0,0,1,Hindi
COIMBATORE,TN,SOUTH,######,5041,NA,Saral,NA,NA,Unlimited,101553,1,0,1,#N/A
RAMBAGH CHOWK,BIHAR 3,BIHAR,######,8463,NA,Fashion,NA,NA,Vmart,101180,0,0,0,Hindi
RAMGARH,JHK2,EAST/JHK,######,10976,NA,Fashion,NA,NA,Vmart,101071,0,0,0,Hindi
RAMPUR,UP11,NORTH,######,7871,NA,Fashion,NA,NA,Vmart,101063,0,0,0,Hindi
RANCHI,JHK1,EAST/JHK,23-Sep-14,9089,NA,Fashion,NA,NA,Vmart,100766,0,1,0,Hindi
RANCHI-BARIATU ROAD,JHK1,EAST/JHK,######,10361,NA,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
RANCHI-RATU ROAD,JHK1,EAST/JHK,######,6360,NA,Fashion,NA,NA,Vmart,101349,0,0,0,Hindi
RENUKOOT,UP5,UP,10-Jan-10,6000,NA,Composite,NA,NA,Vmart,49,0,0,0,Hindi
REWA,MP1,NORTH,21-Jun-17,6424,NA,Fashion,NA,NA,Vmart,101061,0,0,0,Hindi
RISHIKESH-HARIDWAR ROAD,UP1,NORTH,25-Oct-21,8400,NA,Fashion,NA,NA,Vmart,101576,0,0,0,Hindi
ROURKELA-DAILY MARKET,ODISHA,EAST/JHK,######,7192,NA,Fashion,NA,NA,Vmart,101469,0,0,1,Odiya
RUDRAPUR,UP1,NORTH,######,9282,NA,Fashion,NA,NA,Vmart,100815,0,0,0,Hindi
SAGUNA MOR-PATNA,BIHAR 1,BIHAR,03-Oct-18,6300,NA,Fashion,NA,NA,Vmart,101178,0,0,1,Hindi
COIMBATORE- 2,TN,SOUTH,28-Sep-07,4020,NA,Saral,NA,NA,Unlimited,101554,1,0,0,#N/A
SAHARANPUR,DELHI NCR,NORTH,30-Jun-09,8800,NA,Composite,NA,NA,Vmart,43,0,0,0,Hindi
SAHARANPUR-DELHI ROAD,DELHI NCR,NORTH,16-Feb-19,8555,NA,Fashion,NA,NA,Vmart,101212,0,0,0,Hindi
SAHARSA,BIHAR 3,BIHAR,11-Apr-13,6980,NA,Fashion,NA,NA,Vmart,88,0,0,0,Hindi
SAKET NAGAR,UP2,UP,21-Jun-13,7592,NA,Fashion,NA,NA,Vmart,100049,0,1,0,Hindi
DINDIGAL,TN,SOUTH,24-Oct-18,9307,NA,Non Saral,NA,NA,Unlimited,101550,0,0,0,#N/A
SAMASTIPUR,BIHAR 2,BIHAR,######,8500,NA,Fashion,NA,NA,Vmart,81,0,0,0,Hindi
SAMBALPUR,ODISHA,EAST/JHK,04-Jun-16,10400,NA,Fashion,NA,NA,Vmart,101024,0,0,0,Odiya
SANDILA-MOHALL ASHAF TOLA,UP6,UP,######,5009,NA,Fashion,NA,NA,Vmart,101333,0,0,0,Hindi
SANGANER-JAIPUR,RAJASTHAN-1,NORTH,######,9000,NA,Fashion,NA,NA,Vmart,101206,0,0,0,Hindi
FUN REPUBLIC CBE,TN,SOUTH,28-Oct-18,8047,NA,Saral,NA,NA,Unlimited,101556,1,0,0,#N/A
KOLATHUR,TN,SOUTH,######,11535,NA,Non Saral,NA,NA,Unlimited,101551,0,0,0,#N/A
MADURAI,TN,SOUTH,######,10776,NA,Non Saral,NA,NA,Unlimited,101545,0,0,1,#N/A
